,LC_name,Autocor_length,Beyond1Std,CAR_sigma,CAR_mean,CAR_tau,Con,LinearTrend,MaxSlope,Mean,Meanvariance,MedianAbsDev,MedianBRP,PairSlopeTrend,PercentAmplitude,Q31,Rcs,Skew,SlottedA_length,SmallKurtosis,Std,StetsonK_AC,Amplitudes,amp1,amp_2_1_ratio,amp_3_1_ratio
2,exampledata_42.ascii,124.0,0.40316901408450706,10.0,117667.37752905987,0.5,0.0,-0.4360080736630924,243221.9997473097,58833.688764529936,1.589221634448039e-06,0.08102950000102283,0.198943661971831,0.9666666666666667,2.758054166055268e-06,0.1617790000018431,0.4332421828408995,-0.0011518195624547103,0.0,-1.1940386527878226,0.0934997710189735,0.0,0.07902449999999916,14101.917163,0.00017990450527262774,0.00023227349760485605
3,exampledata_3.ascii,125.0,0.42280701754385963,10.0,117667.37648286665,0.5,0.0,-0.6920598524705819,inf,58833.68824143332,1.5934912576761697e-06,0.08131099999809521,0.19824561403508772,0.9666666666666667,2.7575272837000535e-06,0.1623407499937457,0.43334705836919707,0.001490981310478565,0.0,-1.1972733490992156,0.09375096786956927,0.0,0.026773500000000894,11850.253225,0.00010963880755907312,0.00011952601306789401
4,exampledata_38.ascii,125.0,0.40350877192982454,10.0,117667.37648286665,0.5,0.0,-0.41329704983616505,inf,58833.68824143332,1.5934912576761697e-06,0.08131099999809521,0.19824561403508772,0.9666666666666667,2.7575272837000535e-06,0.1623407499937457,0.43334705836919707,0.001490981310478565,0.0,-1.1972733490992156,0.09375096786956927,0.0,0.08790549999999975,14152.090897,0.0002728813600968077,0.00010790671953903722
5,exampledata_1.ascii,125.0,0.42280701754385963,10.0,117667.37648286665,0.5,0.0,-0.9769359541868282,inf,58833.68824143332,1.5934912576761697e-06,0.08131099999809521,0.19824561403508772,0.9666666666666667,2.7575272837000535e-06,0.1623407499937457,0.43334705836919707,0.001490981310478565,0.0,-1.1972733490992156,0.09375096786956927,0.0,0.040118999999998906,12056.132897,0.00013173473334257874,0.00013013482516977248
6,exampledata_40.ascii,124.0,0.40492957746478875,10.0,117667.37715585211,0.5,0.0,-0.38603219812379463,inf,58833.688577926056,1.5933710276683862e-06,0.08102950000102283,0.198943661971831,0.9666666666666667,2.758054166055268e-06,0.1617790000018431,0.4331092377234636,-0.005540189579912094,0.0,-1.1941467662334155,0.09374389483093183,0.0,0.09331050000000118,14153.774879,0.00016083803594994529,0.00014407934499238145
7,exampledata_64.ascii,122.0,0.4125,10.0,117667.379660175,0.5,0.0,-0.12357293667726603,inf,58833.6898300875,1.5934944045025441e-06,0.08102950000102283,0.2017857142857143,0.9666666666666667,2.796747875216815e-06,0.16177074999723118,0.43251349419881324,-0.02996805587256939,0.0,-1.1868629450568149,0.09375115554048266,0.0,0.09311749999999819,13862.787107,0.0001368091716694038,5.886726720133047e-05
8,exampledata_21.ascii,120.0,0.4116575591985428,10.0,117667.37905298725,0.5,0.0,0.13243781684153488,277337.99971478106,58833.689526493625,1.5838177927115157e-06,0.08000300000276184,0.20218579234972678,0.9666666666666667,2.791852734448303e-06,0.15977700000075856,0.4323739112412033,-0.02295990621388369,0.0,-1.174882477696852,0.09318184428292575,1.0,0.11855125000000122,13239.806910999998,9.56046459893322e-06,0.00043890449182339695
9,exampledata_59.ascii,125.0,0.4077328646748682,10.0,117667.37650473462,0.5,0.0,-0.5067917956378176,inf,58833.68825236731,1.5948847267304503e-06,0.08148899999650894,0.1968365553602812,0.9666666666666667,2.7532525085992187e-06,0.16262199999619043,0.43367100126195035,0.0011406240769119892,0.0,-1.2004252103885602,0.09383295081092134,0.0,0.08494250000000036,14049.811162999997,0.00024363926553997136,0.00022823749257984698
10,exampledata_60.ascii,125.0,0.4017543859649123,10.0,117667.37648286665,0.5,0.0,-0.024970816075935945,149363.00038119196,58833.68824143332,1.5934912576761697e-06,0.08131099999809521,0.19824561403508772,0.9666666666666667,2.7575272837000535e-06,0.1623407499937457,0.43334705836919707,0.001490981310478565,0.0,-1.1972733490992156,0.09375096786956927,0.0,0.074308499999999,14127.237225,0.00010407024238265636,9.011977223590418e-05
11,exampledata_25.ascii,125.0,0.40350877192982454,10.0,117667.37648286665,0.5,0.0,0.9533459052322537,inf,58833.68824143332,1.5934912576761697e-06,0.08131099999809521,0.19824561403508772,0.9666666666666667,2.7575272837000535e-06,0.1623407499937457,0.43334705836919707,0.001490981310478565,0.0,-1.1972733490992156,0.09375096786956927,0.0,0.1515664999999995,13784.328779,0.0018486161555689028,0.0009209850834343133
12,exampledata_18.ascii,124.0,0.42077464788732394,10.0,117667.37717582747,0.5,0.0,0.04089193088536798,264285.9997261355,58833.68858791373,1.5931869377780864e-06,0.08102950000102283,0.198943661971831,0.9666666666666667,2.758054166055268e-06,0.1617790000018431,0.43310600540474237,-0.005486029792672388,1.0,-1.1938518846957786,0.09373306415956782,1.0,0.15492099999999986,13295.473594,0.0007785832104664464,0.0017000699603215029
13,exampledata_5.ascii,125.0,0.42105263157894735,10.0,117667.37648286665,0.5,0.0,1.6706058924881622,43875.99995826272,58833.68824143332,1.5934912576761697e-06,0.08131099999809521,0.19824561403508772,0.9666666666666667,2.7575272837000535e-06,0.1623407499937457,0.43334705836919707,0.001490981310478565,0.0,-1.1972733490992156,0.09375096786956927,0.0,0.0952130000000011,12735.394897,0.0011724307686320527,0.0005738217345619218
14,exampledata_44.ascii,103.0,0.41735537190082644,10.0,117667.39254812397,0.5,0.0,-0.05179542482529586,150284.50011565414,58833.696274061986,1.5579248211217782e-06,0.07618150000052992,0.23140495867768596,0.9666666666666667,2.929622032533532e-06,0.15279849999933504,0.42713925996953545,-0.0825497005926812,1.0,-1.1203480272245934,0.09165847574370105,0.8469383153836896,0.6754990000000003,11933.801535000002,0.001014481432971873,0.001540181082477913
